Area,White,Asian,Black,Mixed/ Other
Barking and Dagenham,50.7,25.12,16.74,6.98
Barnet,64.1,14.62,7.69,13.85
Bexley,78.63,6.85,8.47,6.05
Brent,31.1,32.62,18.9,17.07
Bromley,80.91,4.55,6.36,8.48
Camden,61.96,15.29,7.45,14.9
Croydon,58.81,18.13,16.58,6.22
Ealing,50.73,27.99,6.71,14.58
Enfield,61.13,10.98,21.96,5.93
Greenwich,62.68,13.73,16.9,6.69
Hackney,51.25,11.39,22.42,14.95
Hammersmith and Fulham,66.11,11.11,12.78,10.56
Haringey,65.22,6.52,12.32,15.94
Harrow,44.18,39.36,5.22,11.24
Havering,83.72,5.04,5.43,5.81
Hillingdon,50.49,32.79,7.87,9.18
Hounslow,48.33,31.97,9.29,10.78
Islington,70.21,7.23,10.64,11.91
Kensington and Chelsea,64.94,11.69,9.74,14.29
Kingston upon Thames,69.49,16.95,1.69,11.86
Lambeth,53.09,8.64,23.46,15.12
Lewisham,63.28,7.54,19.02,9.84
Merton,65.22,16.91,7.73,10.14
Newham,31.62,47.29,13.39,7.69
Redbridge,46.58,41.04,6.51,5.86
Richmond upon Thames,86.73,5.61,0.51,7.14
Southwark,63.49,5.4,20.32,11.11
Sutton,72.06,17.65,5.39,4.9
Tower Hamlets,46.18,40.76,7.01,6.05
Waltham Forest,51.26,15.88,15.52,17.33
Wandsworth,74.92,5.88,12.07,7.12
Westminster,58.09,13.69,7.05,21.16
