Area,value
City of London,137000
Barking and Dagenham,23100
Barnet,41600
Bexley,27600
Brent,26100
Bromley,36500
Camden,68900
Croydon,29700
Ealing,32400
Enfield,30600
Greenwich,32800
Hackney,29800
Hammersmith and Fulham,52900
Haringey,35100
Harrow,33300
Havering,29700
Hillingdon,29300
Hounslow,31800
Islington,48400
Kensington and Chelsea,161000
Kingston upon Thames,39200
Lambeth,35400
Lewisham,28700
Merton,44000
Newham,21900
Redbridge,30200
Richmond upon Thames,58900
Southwark,36800
Sutton,30000
Tower Hamlets,38300
Waltham Forest,24800
Wandsworth,52800
Westminster,93500
