Index,Area,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017,pop2018,pop2019,pop2020
0,London Total,8061495,8217477,8321037,8428811,8550557,8685180,8798959,8904006,9006352,9106156,9203329
1,City of London,7338,7412,7204,6848,6872,7160,7401,7405,7681,7953,8046
2,Barking and Dagenham,182838,187418,190949,194741,198683,202368,206849,210513,212773,214858,218367
3,Barnet,351438,357653,364071,369203,375030,379806,386198,391446,397049,402363,407148
4,Bexley,230711,233002,234499,236915,240093,242370,244988,247179,249999,252885,254970
5,Brent,304785,313084,315499,318103,321601,324851,329093,332750,336859,340710,343853
6,Bromley,308560,311110,314592,318455,321834,325413,327445,330909,332733,334292,336395
7,Camden,214725,220087,224961,229718,234845,241058,246180,249556,252637,255526,257384
8,Croydon,357951,364815,368886,372752,376040,379031,382304,386346,391296,396548,400272
9,Ealing,334073,339665,341022,342845,342469,343410,343547,347126,350784,354184,361833
10,Enfield,307648,314011,317363,320600,324650,328509,331471,335647,337697,339480,342993
11,Greenwich,249171,255483,260068,264008,268678,274803,279766,282774,286322,289650,292466
12,Hackney,241739,247578,252515,257775,263546,269405,273922,277475,281740,286425,289488
13,Hammersmith and Fulham,180842,182790,180195,179030,178710,179754,179998,181889,184050,186075,190721
14,Haringey,252742,256438,259810,264284,268439,273762,279349,282397,284288,285949,288913
15,Harrow,237451,241063,242941,243937,246575,247694,249316,252052,255369,258861,261348
16,Havering,236234,238281,240087,242434,246328,249439,253137,256162,257511,258655,261830
17,Hillingdon,269465,276134,282391,287443,293325,298370,303106,307040,309926,312567,316253
18,Hounslow,249236,255334,259459,262814,265975,269177,271546,274970,278264,281339,284358
19,Islington,200129,206639,211400,216024,221383,228045,233218,235370,238267,241589,242827
20,Kensington and Chelsea,160463,158652,156331,155995,156591,158112,157127,157954,159301,160531,160794
21,Kingston upon Thames,158648,160469,163939,166826,169991,173558,176140,178419,179581,180598,182728
22,Lambeth,297650,304808,310527,314569,318543,324758,328237,331157,334724,338028,340324
23,Lewisham,272525,277525,282143,286767,292520,297912,302454,306380,310324,314027,317465
24,Merton,199136,201226,202908,203906,204198,205248,205712,208225,209421,210452,212658
25,Newham,299171,311912,315536,319679,325774,334269,342430,347448,353245,359470,363552
26,Redbridge,275088,281521,284743,288398,293181,296919,299375,303887,305910,307690,312264
27,Richmond upon Thames,186304,187527,189145,191365,193585,194730,195846,197988,199419,200703,201713
28,Southwark,283777,289361,294174,299109,303182,309545,313867,317735,322302,327271,330290
29,Sutton,189321,191515,194022,196306,198526,200537,202612,204933,207378,209666,211297
30,Tower Hamlets,248520,256685,263676,273563,284688,295909,305527,311044,317203,323696,328043
31,Waltham Forest,254009,260397,263221,266452,268675,271825,276498,280050,283524,286776,290024
32,Wandsworth,302620,308300,308902,311106,312735,315134,316686,319731,324400,328828,332731
33,Westminster,217187,219582,223858,226841,233292,242299,247614,250049,254375,258511,259981
