Area,value
City of London,117000
Barking and Dagenham,22800
Barnet,39200
Bexley,28300
Brent,27400
Bromley,36400
Camden,69300
Croydon,29700
Ealing,32000
Enfield,30400
Greenwich,31000
Hackney,31200
Hammersmith and Fulham,52700
Haringey,34600
Harrow,32400
Havering,30400
Hillingdon,30000
Hounslow,32400
Islington,47200
Kensington and Chelsea,137000
Kingston upon Thames,38700
Lambeth,35700
Lewisham,29800
Merton,43700
Newham,22000
Redbridge,30900
Richmond upon Thames,57400
Southwark,36500
Sutton,31400
Tower Hamlets,38200
Waltham Forest,25300
Wandsworth,53400
Westminster,88200
