Area,value
City of London,151000
Barking and Dagenham,24600
Barnet,45500
Bexley,29600
Brent,29700
Bromley,39000
Camden,78900
Croydon,31800
Ealing,34500
Enfield,32900
Greenwich,34200
Hackney,36300
Hammersmith and Fulham,61300
Haringey,39100
Harrow,36000
Havering,31300
Hillingdon,31300
Hounslow,35800
Islington,51900
Kensington and Chelsea,156000
Kingston upon Thames,41900
Lambeth,40600
Lewisham,31500
Merton,48700
Newham,24800
Redbridge,33100
Richmond upon Thames,64000
Southwark,40500
Sutton,32800
Tower Hamlets,40800
Waltham Forest,27000
Wandsworth,59900
Westminster,107000
