name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing,runtime
Wembley Library,Brent Civic Centre Engineers Way,,,,,,,,,-0.28145091034719716,51.558913203309395,519229.8115887138,185846.76843330555,05/16/2021
Kilburn,Salusbury Road,,,Brent,,202046410,E09000005,Queens Park,E05000098,-0.20537632933328115,51.535114827059026,524567.9662526551,183326.92311962735,05/16/2021
Bradmore Green,Bradmore Way,Coulsdon,,Croydon,,200001206439,E09000008,Old Coulsdon,E05011474,-0.1239772175451508,51.30756461822491,530860.9645413605,158164.92995614704,05/16/2021
Biggin Hill Memorial Library and Pool,Church Road,Biggin Hill,,Bromley,,10070007971,E09000006,Biggin Hill,E05000107,0.03472945162582381,51.31223601174208,541907.9615396087,158978.9297364323,05/16/2021
Coulsdon,Brighton Road,Coulsdon,,Croydon,,100023534265,E09000008,Coulsdon Town,E05011466,-0.1386686585240973,51.32000217846126,529801.9648335783,159521.92959059807,05/16/2021
Purley,Banstead Road,Purley,,Croydon,,200001215992,E09000008,Purley & Woodcote,E05011476,-0.11866881358080918,51.33914397993314,531140.9644692251,161685.929001303,05/16/2021
Sanderstead,Farm Fields,South Croydon,,Croydon,,200001205396,E09000008,Sanderstead,E05011478,-0.0855333875454376,51.340819400614315,533443.96384029,161931.92893322825,05/16/2021
New Addington,Central Parade,Croydon,,Croydon,,100023534498,E09000008,New Addington South,E05011471,-0.016351061034715876,51.340927744343155,538261.9625296631,162071.92889801445,05/16/2021
Selsdon,Addington Road,South Croydon,,Croydon,,10014054952,E09000008,Selsdon Vale & Forestdale,E05011481,-0.06234788839540028,51.342461480457935,535053.9634036969,162156.92887238384,05/16/2021
Library @ the Phoenix Centre,Mollison Drive,Wallington,,Sutton,,5870113095,E09000029,Beddington South,E05000556,-0.1332588469893319,51.35321724607274,530084.9647557805,163224.92858171667,05/16/2021
Wallington Library,Shotfield,Wallington,,Sutton,,5870076858,E09000029,Wallington South,E05000570,-0.1507948795061701,51.357847606031704,528850.9650905905,163708.92845009896,05/16/2021
Cheam Library,Church Road,Cheam,,Sutton,,5870018019,E09000029,Cheam,E05000560,-0.21669173092116367,51.360101195676606,524256.96633666893,163845.92841352138,05/16/2021
Sutton Central Library,St Nicholas Way,Sutton,,Sutton,,5870113864,E09000029,Sutton Central,E05000564,-0.19515461370701015,51.36207338999041,525750.9659322376,164101.92834462988,05/16/2021
Hook and Chessington Library,Hook Road,Chessington,,Kingston upon Thames,,10091803267,E09000021,Chessington North and Hook,E05000404,-0.30603410474035586,51.36791922606943,518016.968033959,164567.92821594898,05/16/2021
Library @ Westcroft Centre,Westcroft Road,Carshalton,,Sutton,,5870122731,E09000029,Wallington North,E05000569,-0.15811688654644,51.36795395710612,528312.9652386562,164819.92815183848,05/16/2021
Croydon central library,Katharine Street,Croydon,,Croydon,,100022917682,E09000008,Fairfield,E05011468,-0.09951045254803667,51.371910542400165,532380.9641287995,165363.9280014406,05/16/2021
Worcester Park Library,Windsor Road,Worcester Park,,Sutton,,5870109125,E09000029,Nonsuch,E05000561,-0.24137124603141485,51.37805466953304,522490.9668195736,165800.92788285785,05/16/2021
Shirley,Wickham Road,Croydon,,Croydon,,100022908481,E09000008,Shirly South,E05011483,-0.045131974033874936,51.37517898317513,536155.9631051893,165826.92787814775,05/16/2021
West Wickham Library,Glebe Way,West Wickham,,Bromley,,100022897598,E09000006,West Wickham,E05000127,-0.013892795066769933,51.37585929263627,538327.9625117598,165960.92783982732,05/16/2021
Library @ The Life Centre,Alcorn Close,Sutton,,Sutton,,5870120544,E09000029,Stonecot,E05000563,-0.20182154055659474,51.37890231066054,525240.9660735055,165961.92784000194,05/16/2021
Tolworth Community Library,Tolworth Broadway,Tolworth,,Kingston upon Thames,,128002519,E09000021,Alexandra,E05000400,-0.28225447907246093,51.381080147010934,519637.96759513987,166069.92780973046,05/16/2021
