name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing,runtime
Museum of Croydon,Central Library,Croydon Clocktower,Katharine Street,Croydon,http://www.museumofcroydon.com/,100022917682,E09000008,Fairfield,E05011468,-0.09951045254803667,51.371910542400165,532380.9641287995,165363.9280014406,05/16/2021
Museum of Writing,c/o Institute of English Studies,University of London Senate House,Malet Street,Camden,http://www.museumofwriting.co.uk/,5016035,E09000007,Bloomsbury,E05000129,-0.12869802265875457,51.520643623813584,529926.9647969569,181850.92352089816,05/16/2021
The Foundling Museum,40 Brunswick Square,NA,NA,Camden,http://www.foundlingmuseum.org.uk/,5002560,E09000007,King's Cross,E05000141,-0.12164622262629594,51.525270107373196,530402.964669417,182377.92337760224,05/16/2021
Freud Museum,20 Maresfield Gardens,NA,NA,Camden,https://www.freud.org.uk/,5012934,E09000007,Frognal and Fitzjohns,E05000133,-0.17724635343508732,51.548421888930946,526481.9657331806,184854.9227054417,05/16/2021
Keats House,10 Keats Grove,Hampstead,NA,Camden,http://www.cityoflondon.gov.uk/keats,5015415,E09000007,Hampstead Town,E05000135,-0.1679301779810725,51.555569760606815,527107.9655625345,185665.92248556582,05/16/2021
British Museum,Great Russell Street,NA,NA,Camden,http://www.britishmuseum.org/,5027059,E09000007,Bloomsbury,E05000129,-0.12647475567723704,51.51897146111293,530085.964753409,181668.9235696554,05/16/2021
2 Willow Road,Hampstead,NA,NA,Camden,https://www.nationaltrust.org.uk/2-willow-road,5032722,E09000007,Hampstead Town,E05000135,-0.16915010156707455,51.557162489166295,527018.9655857261,185840.92243757483,05/16/2021
British Library,96 Euston Road London,NW1 2DB ,NA,Camden,http://www.bl.uk/,5037737,E09000007,St. Pancras and Somers Town,E05000143,-0.12698835462812688,51.52998677143432,530018.9647743074,182892.9232379205,05/16/2021
Burgh House and Hampstead Museum,New End Square,Hampstead,NA,Camden,www.burghhouse.org.uk/,5067420,E09000007,Hampstead Town,E05000135,-0.17506733926931317,51.55818089976963,526605.9656982652,185943.92240836262,05/16/2021
Royal College of Physicians of London Museum,Library Archive and Museum Services,11 St Andrews Place,Regentâs Park,Camden,http://www.rcplondon.ac.uk/museum-and-garden,5069347,E09000007,Regent's Park,E05000142,-0.1449807444509275,51.525749292122754,528782.9651070784,182389.92337416718,05/16/2021
"Jewish Museum, London",Raymond Burton Hs,129-131 Albert Street,NA,Camden,http://www.jewishmuseum.org.uk/,5082327,E09000007,Camden Town with Primrose Hill,E05000130,-0.1446414661462595,51.53728156162264,528773.9651113618,183672.9230259779,05/16/2021
