name,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address1,address2,address3,longitude,latitude,easting,northing,runtime
Moth Club,HACKNEY,www.mothclub.co.uk,100023022302,E09000012,Homerton,E05009376,Hackney Trades Hall Valette Street,Hackney,,-0.054420006946083614,51.5456389548926,535005.9632945792,184764.9226076908,05/16/2021
Her Majesty's Theatre,CITY OF WESTMINSTER,www.reallyusefultheatres.co.uk/our-theatres/her-majestys,100023349365,E09000033,St. James's,E05000644,Haymarket City Of Westminster,,,-0.1320069295137484,51.50812452822598,529732.9647277478,180452.9237789666,05/16/2021
King's College,CITY OF WESTMINSTER,,100022807697,E09000033,St. James's,E05000644,Strand City Of Westminster,,,-0.11622738440764957,51.5116131543542,530817.9644314316,180868.92366342025,05/16/2021
Peacock Theatre,CITY OF WESTMINSTER,www.peacocktheatre.com,100023430213,E09000033,St. James's,E05000644,Portugal Street City Of Westminster,,,-0.11799105536213672,51.51462705698138,530686.9644679044,181200.92357318965,05/16/2021
Picadilly Theatre,CITY OF WESTMINSTER,www.piccadillytheatre.co.uk,100023472891,E09000033,West End,E05000649,16 Denman Street,City Of Westminster,,-0.1353745720757855,51.51105578198978,529490.9647933327,180772.9236922916,05/16/2021
Queen's Theatre,CITY OF WESTMINSTER,www.queenstheatre.co.uk,100023472885,E09000033,West End,E05000649,51 Shaftesbury Avenue,City Of Westminster,,-0.13290016034380414,51.51200562098557,529659.9647470247,180882.92366190167,05/16/2021
Rays Jazz At Foyles,CITY OF WESTMINSTER,www.foyles.co.uk/events,100023431365,E09000033,West End,E05000649,107 Charing Cross Road,City Of Westminster,,-0.13022570225337593,51.51466983105579,529837.9646980478,181183.92357949185,05/16/2021
St. John's Concert Hall,CITY OF WESTMINSTER,www.sjss.org.uk,100023339546,E09000033,St. James's,E05000644,Smith Square City Of Westminster,,,-0.12693806802450375,51.496092351553166,530118.9646214752,179123.92413967923,05/16/2021
Swan,HOUNSLOW,www.swaninnisleworth.co.uk,100023407007,E09000018,Isleworth,E05000362,Saracen House Swan Street,Hounslow,,-0.32281276861211994,51.4692819734679,516591.16830210824,175812.92503809946,05/16/2021
The Albany,LEWISHAM,www.thealbany.org.uk,100023280903,E09000023,New Cross,E05000449,Albany Centre & Theatre Douglas Way,Lewisham,,-0.026347023270993093,51.477463523260276,537156.9627085035,177235.92465235898,05/16/2021
Fire,LAMBETH,www.firelondon.net/,100023383445,E09000022,Oval,E05000426,Arch 39-43 Parry Street,Lambeth,,-0.12378892078627918,51.484720185172655,530369.9645537378,177864.92448238883,05/16/2021
Flower Pot,WALTHAM FOREST,www.flowerpotlivemusic.com,200001429820,E09000031,Wood Street,E05000609,128 Wood Street,Waltham Forest,,-0.00452407795061704,51.58867611818743,538334.9623906066,189643.9212789063,05/16/2021
Wyndham's Theatre,CITY OF WESTMINSTER,www.wyndhamstheatre.co.uk,100023431358,E09000033,St. James's,E05000644,Charing Cross Road City Of Westminster,,,-0.12821189796327478,51.51105860829355,529987.9646577794,180785.92368746997,05/16/2021
The White Swan,RICHMOND UPON THAMES,www.whiteswantwickenham.co.uk,100023392142,E09000027,Twickenham Riverside,E05000531,Riverside Richmond Upon Thames,,,-0.3214286667216496,51.44704174149807,516743.96825897624,173341.92571263976,05/16/2021
Big Chill Bar,Tower Hamlets,www.wearebigchill.com,6151992,E09000030,Spitalfields & Banglatown,E05009333,Tower Hamlets ,,,-0.07219651102141711,51.5208884025304,533845.9637319765,181979.9234867355,05/16/2021
Total Refreshment Centre,,www.totalrefreshment.net,,,,,2A Foulden Road,,,-0.07383960108837623,51.55578362091325,533629.8136675081,185857.36230870138,05/16/2021
The White Hart,Lewisham,,100000000000,E09000023,Telegraph Hill,E05000453,184 New Cross Road,Lewisham,,-0.046707401612780995,51.47449528776908,535751.9632140604,176867.92487308604,05/16/2021
The Camden Assembly Pub,Camden,www.camdenassembly.com,5020249,E09000007,Haverstock,E05000136,49 Chalk Farm Road,Camden,,-0.1492784558085157,51.543119103378885,528435.9652038788,184313.92285042215,05/16/2021
Peckham Levels,Southwark,www.peckhamlevels.org/events,0,E09000028,Rye Lane,E05011113,Peckham Levels 95a Rye Lane,London Se15 4st,,-0.06819234991219095,51.47074174162057,534270.9636170462,176410.92499714927,05/16/2021
Fold,,www.shapescollective.com,,,,,Gillian House,Stephenson Street,,0.004211282175673968,51.5193377645108,539151.3130732048,181949.91494428954,05/16/2021
Kansas Smitty's,,www.kansassmittys.com,,,,,63-65 Broadway Market,,,-0.06139439953924659,51.537326413861926,534546.8794309753,183827.6977736061,05/16/2021
Big Easy,,www.bigeasy.co.uk,,,,,Crossrail Place,,,-0.017785209831998692,51.5043819746329,537670.3732484231,180245.28993495135,05/16/2021
Sister Midnight Records,,www.sistermidnightrecords.co.uk,,,,,4 Tanner's Hill,,,-0.025994096801358776,51.47468690951841,537189.8000313122,176927.82970821584,05/16/2021
Tooting Tram & Social,,www.tootingtramandsocial.co.uk,,,,,46-48 Mitcham Rd,,,-0.16695897923679576,51.42678940479523,527533.8778263828,171347.05750186573,05/16/2021
The Unicorn,Camden,www.theunicorncamden.com,,,,,227a Camden Road,,,-0.129557504808049,51.548909780806305,529786.9459722242,184992.6256681297,05/16/2021
St John's Music Hall,,www.musichalls.org/posts/st-johns-music-hall,,,,,High Rd,Leytonstone,,0.01091628305943395,51.56877283822514,539465.3679926491,187459.92076741793,05/16/2021
EartH,,https://earthackney.co.uk/,,,,,11-17 Stoke Newington Rd,,,-0.07519355033418951,51.55084592303333,533550.39205956,185305.80706112186,05/16/2021
Jamboree,,www.jamboreevenue.co.uk,,,,,27 Three Colt St,,,-0.02968735553787607,51.511701432956485,536822.4619738912,181036.89368517045,05/16/2021
Oslo Hackney,,www.oslohackney.com,,,,,1A Amhurst Rd,,,-0.057514854034456935,51.54801828674351,534784.360962462,185023.80140403198,05/16/2021
Pickle Factory,,www.ovalspace.co.uk,,,,,13-14 The Oval,,,-0.059293022228148244,51.53260751033441,534706.5269805504,183306.80740715173,05/16/2021
Paper Dress Vintage,,www.paperdressvintage.co.uk,,,,,352 Mare Street,,,-0.05476801248769767,51.54738629954975,534976.6712835147,184958.58790049847,05/16/2021
Slim Jim's Liquor Store,Islington,www.slimjimsliquorstore.com,,,,,112 Upper St,,,-0.10286487729993156,51.5379902816437,531669.0735775583,183826.0322376142,05/16/2021
The Sound Lounge,,www.thesoundlounge.org.uk,,,,,216-220 High Street,,,-0.19421874484373192,51.36654935595027,525803.8627152424,164601.26359956502,05/16/2021
Under the Bridge,,www.underthebridge.co.uk,,,,,Fulham Road,,,-0.18998411058717557,51.482013407952564,525781.5533077489,177448.23708703718,05/16/2021
Leytonstone Ex-Servicemens Club,Waltham Forest,www.leytonstonesocial.club,100000000000,E09000031,Leytonstone,E05000605,2 Harvey Road,Waltham Forest,,0.011656818757007479,51.567375291470185,539520.9621899968,187305.922038068,05/16/2021
Thousand Island,Islington,www.thegarage.london/listings/#=.thousand-island,0,E09000019,Highbury East,E05000372,20-22 Highbury Corner Highbury East,,,-0.10400200621906802,51.54674851266244,531564.9643505255,184797.92271902488,05/16/2021
Plough,Ealing,www.ploughinnnorwoodgreen.co.uk,12126106,E09000009,Norwood Green,E05000186,Tentelow Lane Ealing,,,-0.3660957039491998,51.49468546694146,513521.9692583693,178569.92441126227,05/16/2021
Rumpus Room,Southwark,,10091666184,E09000028,Borough & Bankside,E05011095,20 Upper Ground,Southwark,,-0.10693359576454416,51.50844196785497,531471.9643747566,180532.92387800664,05/16/2021
Claret Wine Bar,Sutton,,5870019859,E09000029,Cheam,E05000560,33 The Broadway,Sutton,,-0.21690161976872405,51.35876450294586,524245.96633902076,163696.92845334118,05/16/2021
Revolution,Sutton,,5870030304,E09000029,Sutton West,E05000567,42795 High Street,Sutton,,-0.19160736100323736,51.35950068178745,526004.965862593,163821.92842046003,05/16/2021
Wallington Arms,Sutton,www.wallingtonarms.com,5870077343,E09000029,Wallington South,E05000570,6 Woodcote Road,Sutton,,-0.15015891460273187,51.360085817367896,528888.9650810962,163958.9283820431,05/16/2021
Earl Of Eldon,Croydon,,100000000000,E09000008,South Croydon,E05011484,63 Brighton Road,Croydon,,-0.09752315673141058,51.35953094448391,532554.9640831783,163990.92837578134,05/16/2021
Bounce,Sutton,,5870122285,E09000029,Sutton Central,E05000564,57 High Street,Sutton,,-0.19244541721383537,51.361563973329915,525940.96588055,164049.92835806333,05/16/2021
New Inn,Sutton,,5870048302,E09000029,Sutton Central,E05000564,16-18 Myrtle Road,Sutton,,-0.187065660749106,51.364664241383934,526306.9657818488,164403.92826039589,05/16/2021
The Coach & Horses,Sutton,,5870077971,E09000029,Carshalton Central,E05000558,10 High Street,Sutton,,-0.16237483765720692,51.364945180205225,528024.9653164825,164477.92824417696,05/16/2021
Race Horse,Sutton,www.theracehorsepub.co.uk,5870063158,E09000029,Carshalton Central,E05000558,17 West Street,Sutton,,-0.16739171394121263,51.36630066674291,527671.9654120337,164619.92820597108,05/16/2021
The Boom Boom Club,Sutton,www.feenstra.co.uk/boomboom,0,E09000029,Sutton West,E05000567,Sutton United Football Club The Borough Sports Ground,Gander Green Ln,Sutton,-0.2043611927612379,51.36761052497018,525094.9661124857,164701.9281807969,05/16/2021
Scream Lounge,Croydon,,100000000000,E09000008,Fairfield,E05011468,20 South End,Croydon,,-0.09929876594051502,51.366610279854015,532410.9641209197,164774.92815944133,05/16/2021
Olde Whyte Lyon,Bromley,www.yeoldewhytelyon.co.uk,10013149027,E09000006,Farnborough And Crofton,E05000118,Farnborough Common Orpington,,,0.054977385515561895,51.36524791371966,543153.9611998235,164912.92812187033,05/16/2021
The Railway Tavern,Sutton,www.railwaytaverncarshalton.co.uk,5870062829,E09000029,The Wrythe,E05000568,47 North Street,Sutton,,-0.1658508121006837,51.36927119755269,527770.9653855228,164952.928114374,05/16/2021
Royal Standard,Croydon,www.royalstandardcroydon.co.uk,100000000000,E09000008,Fairfield,E05011468,1 Sheldon Street,Croydon,,-0.10158984564517623,51.36992086509031,532241.9641663588,165138.92806112603,05/16/2021
The Soulful Cellar,Croydon,,200000000000,E09000008,Fairfield,E05011468,90 High Street,Croydon,,-0.10033017811729697,51.370502962967976,532327.9641431764,165205.92804326274,05/16/2021
Ship,Croydon,www.shippub.co.uk,200000000000,E09000008,Fairfield,E05011468,47 High Street,Croydon,,-0.10006559288778777,51.37203645688718,532341.9641393909,165376.92799745593,05/16/2021
